"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CUnmannedTraderDivisionInfo","GetGroupID","18","58","0.31","D:\repo\WorldServer\Entities\CUnmannedTraderDivisionInfo.cpp","302","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderDivisionInfo__GetGroupID_3.c"
"CUnmannedTraderGroupItemInfoTable","Init","11","35","0.31","D:\repo\WorldServer\Entities\CUnmannedTraderGroupItemInfoTable.cpp","30","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupItemInfoTable__Init_1.c"
"CUnmannedTraderTaxRateManager","Init","16","51","0.31","D:\repo\WorldServer\Entities\CUnmannedTraderTaxRateManager.cpp","62","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderTaxRateManager__Init_1.c"
"lua_tinker","enum_stack","32","102","0.31","D:\repo\WorldServer\Entities\LuaTinker.cpp","267","D:\repo\WorldServerIdaPro\functions\lua_tinker__enum_stack_1.c"
"CAsyncLogger","FormatLog","33","103","0.32","D:\repo\WorldServer\Entities\CAsyncLogger.cpp","345","D:\repo\WorldServerIdaPro\functions\CAsyncLogger__FormatLog_1.c"
"CBossMonsterScheduleSystem","Instance","7","22","0.32","D:\repo\WorldServer\Entities\CBossMonsterScheduleSystem.cpp","19","D:\repo\WorldServerIdaPro\functions\CBossMonsterScheduleSystem__Instance_1.c"
"CBsp","GetColorFromPoint","92","285","0.32","D:\repo\WorldServer\Entities\CBsp.cpp","1016","D:\repo\WorldServerIdaPro\functions\CBsp__GetColorFromPoint.c"
"CBsp","GetFirstYpos","46","143","0.32","D:\repo\WorldServer\Entities\CBsp.cpp","524","D:\repo\WorldServerIdaPro\functions\CBsp__GetFirstYpos.c"
"CChiNetworkEX","Send_Trans","8","25","0.32","D:\repo\WorldServer\Entities\CChiNetworkEX.cpp","62","D:\repo\WorldServerIdaPro\functions\CChiNetworkEX__Send_Trans_1.c"
"CGuildRanking","UpdateRankinGuildStep5","23","71","0.32","D:\repo\WorldServer\Entities\CGuildRanking.cpp","609","D:\repo\WorldServerIdaPro\functions\CGuildRanking__UpdateRankinGuildStep5_1.c"
"CGuildRoomInfo","RoomOut","7","22","0.32","D:\repo\WorldServer\Entities\CGuildRoomInfo.cpp","300","D:\repo\WorldServerIdaPro\functions\CGuildRoomInfo__RoomOut_1.c"
"CItemStore","CalcBuyPrice","9","28","0.32","D:\repo\WorldServer\Entities\CItemStore.cpp","589","D:\repo\WorldServerIdaPro\functions\CItemStore__CalcBuyPrice_1.c"
"CLevel","CLevel","9","28","0.32","D:\repo\WorldServer\Entities\CLevel.cpp","13","D:\repo\WorldServerIdaPro\functions\CLevel__CLevel.c"
"CPlayer","SendMsg_AdjustAmountInform","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer.cpp","15404","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_AdjustAmountInform_1.c"
"CPlayer","SendMsg_AlterItemDurInform","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer.cpp","5221","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_AlterItemDurInform_1.c"
"CPlayer","SendMsg_BuddyLoginInform","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer_Targeting.cpp","291","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_BuddyLoginInform_1.c"
"CPlayer","SendMsg_OreIntoBagResult","8","25","0.32","D:\repo\WorldServer\Entities\CPlayer_Mining.cpp","157","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_OreIntoBagResult_1.c"
"CPlayer","SendMsg_SetItemCheckResult","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer.cpp","22279","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_SetItemCheckResult_1.c"
"CPlayer","SendMsg_StatInform","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer.cpp","9597","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_StatInform_1.c"
"CPlayer","SendMsg_UseRadarResult","7","22","0.32","D:\repo\WorldServer\Entities\CPlayer.cpp","22027","D:\repo\WorldServerIdaPro\functions\CPlayer__SendMsg_UseRadarResult_1.c"
"CPlayer","UpdatedMasteryWriteHistory","19","59","0.32","D:\repo\WorldServer\Entities\CPlayer_LevelLoop.cpp","1063","D:\repo\WorldServerIdaPro\functions\CPlayer__UpdatedMasteryWriteHistory_1.c"
"CPostSystemManager","PostRegistryLoad","13","41","0.32","D:\repo\WorldServer\Entities\CPostSystemManager.cpp","260","D:\repo\WorldServerIdaPro\functions\CPostSystemManager__PostRegistryLoad_1.c"
"CPvpOrderView","UpdatePvPPoint","7","22","0.32","D:\repo\WorldServer\Entities\CPvpOrderView.cpp","118","D:\repo\WorldServerIdaPro\functions\CPvpOrderView__UpdatePvPPoint_1.c"
"CRaceBuffHolyQuestResultInfo","SaveINI","18","57","0.32","D:\repo\WorldServer\Entities\CRaceBuffHolyQuestResultInfo.cpp","94","D:\repo\WorldServerIdaPro\functions\CRaceBuffHolyQuestResultInfo__SaveINI_1.c"
"CUnmannedTraderScheduler","FindWaitItem","12","38","0.32","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","136","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__FindWaitItem_1.c"
"CWeeklyGuildRankManager","SetNextRankDate","9","28","0.32","D:\repo\WorldServer\Entities\CWeeklyGuildRankManager.cpp","76","D:\repo\WorldServerIdaPro\functions\CWeeklyGuildRankManager__SetNextRankDate_1.c"
"LendItemMng","ReleaseAll","10","31","0.32","D:\repo\WorldServer\Entities\LendItemMng.cpp","120","D:\repo\WorldServerIdaPro\functions\LendItemMng__ReleaseAll_1.c"
"TimeItem","MakeLinkTable","20","62","0.32","D:\repo\WorldServer\Entities\TimeItem.cpp","70","D:\repo\WorldServerIdaPro\functions\TimeItem__MakeLinkTable_1.c"
"TimeLimitJadeMng","ReleaseAll","10","31","0.32","D:\repo\WorldServer\Entities\TimeLimitJadeMng.cpp","97","D:\repo\WorldServerIdaPro\functions\TimeLimitJadeMng__ReleaseAll_1.c"
"AutoMineMachine","SendMsg_ResultCode","7","21","0.33","D:\repo\WorldServer\Entities\AutoMineMachineMng.cpp","767","D:\repo\WorldServerIdaPro\functions\AutoMineMachine__SendMsg_ResultCode_1.c"
"AutoMineMachineMng","SendMsg_ResultCode","7","21","0.33","D:\repo\WorldServer\Entities\AutoMineMachineMng.cpp","1253","D:\repo\WorldServerIdaPro\functions\AutoMineMachineMng__SendMsg_ResultCode_1.c"
