target	required_pack	status	skipped
_darkhole_giveup_out_result_zocl	1	ok	0
_darkhole_job_count_inform_zocl	1	ok	0
_darkhole_member_info_inform_zocl	1	ok	0
_darkhole_member_info_inform_zocl::__list	1	ok	0
_darkhole_mission_info_inform_zocl	1	ok	0
_darkhole_mission_info_inform_zocl::__job	1	ok	0
_darkhole_new_member_inform_zocl	1	ok	0
_darkhole_new_mission_inform_zocl	1	ok	0
_darkhole_open_result_zocl	1	ok	0
_darkhole_outof_member_inform_zocl	1	ok	0
_darkhole_quest_info_inform_zocl	1	ok	0
_darkhole_real_add_time_inform_zocl	1	ok	0
_darkhole_reward_message_inform_zocl	1	ok	0
_darkhole_state_change_zocl	1	ok	0
_decide_recall_error_result_zocl	1	ok	0
_decide_recall_request_clzo	1	ok	0
_delete_storage_inform_zocl	1	ok	0
_destroy_gravity_stone_zocl	1	ok	0
_economy_data_inform_zowb	1	ok	0
_economy_rate_inform_zocl	1	ok	0
_editstream	1	ok	0
_effect_add_inform_zocl	1	ok	0
_effect_remove_inform_zocl	1	ok	0
_effect_start_inform_zocl	1	ok	0
_encorrecttext	4	ok	0
_enlink	1	ok	0
_enoleopfailed	1	ok	0
_enprotected	1	ok	0
_enter_world_request_wrac	1	ok	0
_enter_world_request_zone	1	ok	0
_exchange_money_result_zocl	1	ok	0
_extraBytes_101	1	ok	0
_extraBytes_102	1	ok	0
_extraBytes_123	1	ok	0
_extraBytes_13	1	ok	0
_extraBytes_14	1	ok	0
_extraBytes_143	1	ok	0
_extraBytes_147	1	ok	0
_extraBytes_148	1	ok	0
_extraBytes_15	1	ok	0
_extraBytes_150	1	ok	0
_extraBytes_16	1	ok	0
_extraBytes_17	1	ok	0
_extraBytes_177	1	ok	0
_extraBytes_18	1	ok	0
_extraBytes_185	1	ok	0
_extraBytes_19	1	ok	0
_extraBytes_20	1	ok	0
_extraBytes_21	1	ok	0
_extraBytes_22	1	ok	0
_extraBytes_23	1	ok	0
_extraBytes_24	1	ok	0
_extraBytes_25	1	ok	0
_extraBytes_26	1	ok	0
_extraBytes_27	1	ok	0
_extraBytes_28	1	ok	0
_extraBytes_29	1	ok	0
_extraBytes_30	1	ok	0
_extraBytes_31	1	ok	0
_extraBytes_32	1	ok	0
_extraBytes_34	1	ok	0
_extraBytes_35	1	ok	0
_extraBytes_353	1	ok	0
_extraBytes_36	1	ok	0
_extraBytes_363	1	ok	0
_extraBytes_386	1	ok	0
_extraBytes_39	1	ok	0
_extraBytes_41	1	ok	0
_extraBytes_42	1	ok	0
_extraBytes_428	1	ok	0
_extraBytes_434	1	ok	0
_extraBytes_44	1	ok	0
_extraBytes_45	1	ok	0
_extraBytes_46	1	ok	0
_extraBytes_47	1	ok	0
_extraBytes_49	1	ok	0
_extraBytes_50	1	ok	0
_extraBytes_51	1	ok	0
_extraBytes_519	1	ok	0
_extraBytes_53	1	ok	0
_extraBytes_538	1	ok	0
_extraBytes_55	1	ok	0
_extraBytes_57	1	ok	0
_extraBytes_58	1	ok	0
_extraBytes_61	1	ok	0
_extraBytes_62	1	ok	0
_extraBytes_63	1	ok	0
_extraBytes_66	1	ok	0
_extraBytes_75	1	ok	0
_extraBytes_81	1	ok	0
_extraBytes_87	1	ok	0
_extraBytes_89	1	ok	0
_extraBytes_92	1	ok	0
_extraBytes_95	1	ok	0
_fcitem_inform_zocl	1	ok	0
_fireguard_block_request_wrac	1	ok	0
_fireguard_divide_block_request_wrac	1	ok	0
_force_download_result_zocl::_list	1	ok	0
_force_recall_teleport_request_clzo	1	ok	0
_force_result_one_zocl	1	ok	0
_gesture_inform_zocl	1	ok	0
_gettextex	1	ok	0
_gm_msg_gmcall_list_response_zocl	1	ok	0
_gm_msg_gmcall_list_response_zocl::_call_node	1	ok	0
_goto_avator_result_zocl	1	ok	0
_gravity_stone_fix_position_zocl	1	ok	0
_gravity_stone_regener_fix_position_zocl	1	ok	0
_gravity_stone_regener_inform_zocl	1	ok	0
_guild_add_join_applier_inform_zocl	1	ok	0
_guild_alter_member_grade_inform_zocl::__list	1	ok	0
_guild_alter_member_state_inform_zocl::__list	1	ok	0
_guild_atrade_tax_zocl	1	ok	0
_guild_battle_complete_msg_zowb	1	ok	0
_guild_battle_current_battle_info_result_zocl	1	forward_decl_only	0
_guild_battle_current_battle_info_result_zocl	1	ok	0
_guild_battle_fin_pvppoint_result_zocl	1	ok	0
_guild_battle_get_gravity_stone_request_clzo	1	ok	0
_guild_battle_get_gravity_stone_result_zocl	1	ok	0
