file name	variable name	current value	ida value
WorldServer\Entities\CMonster.h	s_logTrace_Boss_BirthAndDeath	<decl-only>	0x14136FAA0 bytes[184] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CMonster.h	s_logTrace_Boss_Looting	<decl-only>	0x14136F9E0 bytes[184] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CMonster.h	s_nAllocNum	<decl-only>	0x141363310 bytes[4] FF FF FF FF
WorldServer\Entities\CMonster.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CMonsterEventRespawn.cpp	s_iniExtLen	0	<not-found>
WorldServer\Entities\CMonsterEventRespawn.cpp	s_iniExtLenInit	false	<not-found>
WorldServer\Entities\CMonsterHelper.h	cur	<decl-only>	0x14070D0A0 bytes[1] 01
WorldServer\Entities\CMonsterHelper.h	NewTar	<decl-only>	0x141372688 bytes[12] FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CMonsterHelper.h	tarPos	<decl-only>	<not-found>
WorldServer\Entities\CMoveMapLimitEnviromentValues.h	ELAN_1TH_LIMIT_NPC_RECORD_INDEX	<decl-only>	0x140971EDC bytes[4] FF FF FF FF
WorldServer\Entities\CMoveMapLimitEnviromentValues.h	ELAN_MAP_CODE	<decl-only>	0x140971ED8 bytes[4] FF FF FF FF
WorldServer\Entities\CMoveMapLimitManager.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CMoveMapLimitRightInfo.cpp	CMoveMapLimitRightInfo::operator	(const CMoveMapLimitRightInfo &rhs)	<not-found>
WorldServer\Entities\CNationSettingDataNULL.h	ms_NULL	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CNuclearBomb.h	s_dwSerialCnt	<decl-only>	<ambiguous-name:8>
