"file","line","name","pack","in_pack1"
"WorldServer\Entities\npclink_check_item_result_zocl.h","7","_npclink_check_item_result_zocl","1","True"
"WorldServer\Entities\NPCLink_fld.h","8","_NPCLink_fld","1","True"
"WorldServer\Entities\nuclear_find_rader_result_zocl.h","6","_nuclear_find_rader_result_zocl","1","True"
"WorldServer\Entities\nuclear_position_result_zocl.h","6","_nuclear_position_result_zocl","1","True"
"WorldServer\Entities\nuclear_result_code_zocl.h","6","_nuclear_result_code_zocl","1","True"
"WorldServer\Entities\OreItem_fld.h","8","_OreItem_fld","1","True"
"WorldServer\Entities\other_shape_request_clzo.h","6","_other_shape_request_clzo","1","True"
"WorldServer\Entities\personal_amine_errmsg_zocl.h","6","_personal_amine_errmsg_zocl","1","True"
"WorldServer\Entities\personal_amine_fixpos_zocl.h","6","_personal_amine_fixpos_zocl","1","True"
"WorldServer\Entities\personal_amine_infoui_open_zocl.h","6","_personal_amine_infoui_open_zocl","1","True"
"WorldServer\Entities\personal_amine_make_storage_zocl.h","6","_personal_amine_make_storage_zocl","1","True"
"WorldServer\Entities\personal_automine_alter_dur_zocl.h","6","_personal_automine_alter_dur_zocl","1","True"
"WorldServer\Entities\personal_automine_attacked_zocl.h","6","_personal_automine_attacked_zocl","1","True"
"WorldServer\Entities\personal_automine_battery_extract_zocl.h","6","_personal_automine_battery_extract_zocl","1","True"
"WorldServer\Entities\personal_automine_battery_insert_zocl.h","6","_personal_automine_battery_insert_zocl","1","True"
"WorldServer\Entities\personal_automine_delbattery_zocl.h","6","_personal_automine_delbattery_zocl","1","True"
"WorldServer\Entities\personal_automine_download_zocl.h","6","_personal_automine_download_zocl","1","True"
"WorldServer\Entities\personal_automine_install_zocl.h","6","_personal_automine_install_zocl","1","True"
"WorldServer\Entities\personal_automine_popore_zocl.h","6","_personal_automine_popore_zocl","1","True"
"WorldServer\Entities\personal_automine_selore_zocl.h","6","_personal_automine_selore_zocl","1","True"
"WorldServer\Entities\personal_automine_stop_zocl.h","6","_personal_automine_stop_zocl","1","True"
"WorldServer\Entities\player_fld.h","7","_player_fld","1","True"
"WorldServer\Entities\player_macro_result_zocl.h","6","_player_macro_result_zocl","1","True"
"WorldServer\Entities\portal_fld.h","8","_portal_fld","1","True"
"WorldServer\Entities\post_content_result_zocl.h","6","_post_content_result_zocl","1","True"
"WorldServer\Entities\post_recv_delivery_zocl.h","6","_post_recv_delivery_zocl","1","True"
"WorldServer\Entities\post_result_zocl.h","6","_post_result_zocl","1","True"
"WorldServer\Entities\post_return_zocl.h","6","_post_return_zocl","1","True"
"WorldServer\Entities\PotionItem_fld.h","7","_PotionItem_fld","1","True"
"WorldServer\Entities\pt_automine_getoutore_zocl.h","6","_pt_automine_getoutore_zocl","1","True"
"WorldServer\Entities\pt_automine_info_zocl.h","7","_pt_automine_info_zocl","1","True"
"WorldServer\Entities\pt_automine_result_zocl.h","6","_pt_automine_result_zocl","1","True"
"WorldServer\Entities\pt_automine_state_zocl.h","7","_pt_automine_state_zocl","1","True"
"WorldServer\Entities\pt_inform_appoint_zocl.h","6","_pt_inform_appoint_zocl","1","True"
"WorldServer\Entities\pt_inform_commission_income_zocl.h","6","_pt_inform_commission_income_zocl","1","True"
"WorldServer\Entities\pt_inform_punishment_zocl.h","6","_pt_inform_punishment_zocl","1","True"
"WorldServer\Entities\pt_inform_tax_rate_zocl.h","6","_pt_inform_tax_rate_zocl","1","True"
"WorldServer\Entities\pt_result_appoint_zocl.h","6","_pt_result_appoint_zocl","1","True"
"WorldServer\Entities\pt_result_change_tax_rate_zocl.h","6","_pt_result_change_tax_rate_zocl","1","True"
"WorldServer\Entities\pt_result_code_zocl.h","6","_pt_result_code_zocl","1","True"
"WorldServer\Entities\pt_result_punishment_zocl.h","6","_pt_result_punishment_zocl","1","True"
"WorldServer\Entities\pvp_cash_recover_itemlist_result_zocl.h","6","_pvp_cash_recover_itemlist_result_zocl","1","True"
"WorldServer\Entities\pvp_rank_list_result_data_zocl.h","6","_pvp_rank_list_result_data_zocl","1","True"
