target	action
_ore_cutting_request_clzo	create_missing
_ore_cutting_result_zocl	create_missing
_ore_cutting_result_zocl::_list	create_missing
_ore_into_bag_request_clzo	create_missing
_ore_into_bag_result_zocl	create_missing
_other_map_out_zocl	create_missing
_other_new_view_zocl	create_missing
_other_shape_all_zocl	already_ok
_other_shape_all_zocl::_model	create_missing
_other_shape_cash_rename_zocl	create_missing
_other_shape_change_zocl	create_missing
_other_shape_change_zocl::_model	create_missing
_other_shape_failure_zocl	create_missing
_other_shape_part_zocl	already_ok
_other_shape_part_zocl::_model	create_missing
_other_unit_ride_change_zocl	create_missing
_parkingunit_change_owner_zocl	create_missing
_parkingunit_create_zocl	create_missing
_parkingunit_destroy_zocl	create_missing
_parkingunit_fixpositon_zocl	create_missing
_party_join_joiner_result_zocl::_list	create_missing
_party_leave_self_result_zocl	create_missing
_party_member_effect_upd	create_missing
_party_member_fp_upd	create_missing
_party_member_hp_upd	create_missing
_party_member_info_upd	create_missing
_party_member_info_upd::_EFFECT	create_missing
_party_member_lv_upd	create_missing
_party_member_max_hfsp_upd	create_missing
_party_member_pos_upd	create_missing
_party_member_sp_upd	create_missing
_pc_room_reward_info_clzo	create_missing
_personal_amine_fixpos_zocl	already_ok
_personal_amine_mineore_zocl	already_ok
_personal_amine_mineore_zocl::__changed	create_missing
_personal_automine_alter_dur_zocl	already_ok
_personal_automine_battery_extract_clzo	create_missing
_personal_automine_battery_extract_zocl	already_ok
_personal_automine_battery_insert_clzo	create_missing
_personal_automine_battery_insert_zocl	already_ok
_personal_automine_current_state_zocl	already_ok
_personal_automine_delbattery_zocl	already_ok
_personal_automine_download_zocl::__list	create_missing
_personal_automine_install_clzo	create_missing
_personal_automine_install_zocl	already_ok
_personal_automine_popore_clzo	create_missing
_personal_automine_popore_zocl	already_ok
_personal_automine_selore_clzo	create_missing
_personal_automine_selore_zocl	already_ok
_personal_automine_stop_zocl	already_ok
_personal_automine_uninstall_circle_zocl	already_ok
_personal_automine_uninstall_clzo	create_missing
_personal_automine_uninstall_zocl	already_ok
_personal_automine_uninstall_zocl::__battery	create_missing
_player_destroy_zocl	create_missing
_player_die_zocl	create_missing
_player_fixpositon_zocl	create_missing
_player_macro_result_zocl	already_ok
_player_macro_update_request_clzo	create_missing
_player_move_zocl	create_missing
_player_real_move_zocl	create_missing
_player_resurrect_zocl	create_missing
_player_revival_zocl	create_missing
_player_stop_zocl	create_missing
_possible_battle_guild_list_request_clzo	create_missing
_possible_battle_guild_list_result_zocl	already_ok
_possible_battle_guild_list_result_zocl::__list	create_missing
_post_content_result_zocl	already_ok
_post_content_result_zocl::_post_item	create_missing
_post_delete_reply_zocl	create_missing
_post_recv_delivery_zocl	already_ok
_post_request_clzo	create_missing
_post_result_zocl	already_ok
_post_return_confirm_result_zocl	create_missing
_post_return_zocl	already_ok
_post_return_zocl::_post_item	create_missing
_potionsocket_division_request_clzo	create_missing
