name	required_pack	status	file	line	kind	current_pack	decl
_attack_siege_result_zocl	1	ok	WorldServer/Entities/attack_siege_result_zocl.h	7	struct	1	struct _attack_siege_result_zocl
_attack_skill_request_clzo	1	no_match_in_entities					
_attack_skill_result_zocl	1	ok	WorldServer/Entities/attack_skill_result_zocl.h	7	struct	1	struct _attack_skill_result_zocl
_attack_test_request_clzo	1	no_match_in_entities					
_attack_test_result_zocl	1	no_match_in_entities					
_attack_tower_inform_zocl	1	no_match_in_entities					
_attack_trap_inform_zocl	1	no_match_in_entities					
_attack_unit_request_clzo	1	no_match_in_entities					
_attack_unit_result_zocl	1	ok	WorldServer/Entities/attack_unit_result_zocl.h	7	struct	1	struct _attack_unit_result_zocl
_back_tower_result_zocl	1	no_match_in_entities					
_back_trap_request_clzo	1	no_match_in_entities					
_base_download_result_zocl	1	ok	WorldServer/Entities/base_download_result_zocl.h	6	struct	1	struct __unaligned __declspec(align(2)) _base_download_result_zocl
_base_download_result_zocl::_list_embellish	1	no_match_in_entities					
_base_download_result_zocl::_list_equip	1	no_match_in_entities					
_billing_alive_request_zobi	1	no_match_in_entities					
_billing_expire_inform_zocl	1	no_match_in_entities					
_billing_login_request_zobi	1	no_match_in_entities					
_boss_sms_cancel_result_zocl	1	no_match_in_entities					
_break_stop_result_zocl	1	no_match_in_entities					
_breakdown_equip_item_zocl	1	no_match_in_entities					
_buddy_add_answer_clzo	1	no_match_in_entities					
_buddy_add_ask_zocl	1	no_match_in_entities					
_buddy_add_request_clzo	1	no_match_in_entities					
_buddy_add_result_zocl	1	no_match_in_entities					
_buddy_del_result_clzo	1	no_match_in_entities					
_buddy_in_reged_player_inform_zocl	1	no_match_in_entities					
_buddy_pos_inform_zocl	1	no_match_in_entities					
_buddy_renewal_zocl	1	no_match_in_entities					
_buy_store_failure_zocl	1	ok	WorldServer/Entities/buy_store_failure_zocl.h	6	struct	1	struct _buy_store_failure_zocl
_buy_store_request_clzo	1	ok	WorldServer/Entities/buy_store_request_clzo.h	6	struct	1	struct _buy_store_request_clzo
_buy_store_request_clzo::_list	1	no_match_in_entities					
_buy_store_success_zocl	1	ok	WorldServer/Entities/buy_store_success_zocl.h	6	struct	1	struct _buy_store_success_zocl
_buy_store_success_zocl::_list	1	no_match_in_entities					
