ea,segment,name,kind,value,used_by_functions,log_like
0x1406EB870,.rdata,e_EconomyHistory$initializer$,bytes[8],80 07 6E 40 01 00 00 00,,0
0x1406EB880,.rdata,g_MonsterEventRespawn$initializer$,bytes[8],50 08 6E 40 01 00 00 00,,0
0x1406EB890,.rdata,ItemCombineMgr::ms_tbl_ItemCombine_Link_Stuff$initializer$,bytes[8],20 0A 6E 40 01 00 00 00,,0
0x1406EB898,.rdata,ItemCombineMgr::ms_tbl_ItemCombine_Link_Result$initializer$,bytes[8],70 0A 6E 40 01 00 00 00,,0
0x1406EB8A0,.rdata,ItemCombineMgr::ms_tbl_ItemCombine$initializer$,bytes[8],C0 0A 6E 40 01 00 00 00,,0
0x1406EB8B0,.rdata,g_VoteSys$initializer$,bytes[8],B0 0B 6E 40 01 00 00 00,,0
0x1406EB8C0,.rdata,g_FgLogFile$initializer$,bytes[8],20 11 6E 40 01 00 00 00,,0
0x1406EB8D0,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_7,bytes[8],70 12 6E 40 01 00 00 00,,0
0x1406EB8D8,.rdata,STATE_LIST_NULL$initializer$_7,bytes[8],C0 12 6E 40 01 00 00 00,,0
0x1406EB8E0,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_7,bytes[8],20 13 6E 40 01 00 00 00,,0
0x1406EB8F0,.rdata,CGuildRoomSystem::sm_log$initializer$,bytes[8],70 1A 6E 40 01 00 00 00,,0
0x1406EB900,.rdata,CCashDbWorkerNULL::ms_NULL$initializer$,bytes[8],40 1B 6E 40 01 00 00 00,,0
0x1406EB910,.rdata,g_vRecvData$initializer$,bytes[8],10 21 6E 40 01 00 00 00,,0
0x1406EB920,.rdata,CUnmannedTraderUserInfo::ms_kNull$initializer$,bytes[8],E0 2E 6E 40 01 00 00 00,,0
0x1406EB930,.rdata,g_PotionMgr$initializer$,bytes[8],30 3C 6E 40 01 00 00 00,,0
0x1406EB940,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_8,bytes[8],80 3F 6E 40 01 00 00 00,,0
0x1406EB948,.rdata,STATE_LIST_NULL$initializer$_8,bytes[8],D0 3F 6E 40 01 00 00 00,,0
0x1406EB950,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_8,bytes[8],30 40 6E 40 01 00 00 00,,0
0x1406EB958,.rdata,GUILD_BATTLE::CGuildBattleRewardItem::ms_kNullObj$initializer$,bytes[8],80 40 6E 40 01 00 00 00,,0
0x1406EB968,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_9,bytes[8],40 41 6E 40 01 00 00 00,,0
0x1406EB970,.rdata,STATE_LIST_NULL$initializer$_9,bytes[8],90 41 6E 40 01 00 00 00,,0
0x1406EB978,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_9,bytes[8],F0 41 6E 40 01 00 00 00,,0
0x1406EB988,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_10,bytes[8],C0 42 6E 40 01 00 00 00,,0
0x1406EB990,.rdata,STATE_LIST_NULL$initializer$_10,bytes[8],10 43 6E 40 01 00 00 00,,0
0x1406EB998,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_10,bytes[8],70 43 6E 40 01 00 00 00,,0
0x1406EB9A8,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_11,bytes[8],40 44 6E 40 01 00 00 00,,0
0x1406EB9B0,.rdata,STATE_LIST_NULL$initializer$_11,bytes[8],90 44 6E 40 01 00 00 00,,0
0x1406EB9C0,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_12,bytes[8],70 45 6E 40 01 00 00 00,,0
0x1406EB9C8,.rdata,STATE_LIST_NULL$initializer$_12,bytes[8],C0 45 6E 40 01 00 00 00,,0
0x1406EB9D0,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_11,bytes[8],20 46 6E 40 01 00 00 00,,0
0x1406EB9E0,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_13,bytes[8],70 47 6E 40 01 00 00 00,,0
0x1406EB9E8,.rdata,STATE_LIST_NULL$initializer$_13,bytes[8],C0 47 6E 40 01 00 00 00,,0
0x1406EB9F0,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_12,bytes[8],20 48 6E 40 01 00 00 00,,0
0x1406EBA00,.rdata,g_WorldSch$initializer$,bytes[8],F0 48 6E 40 01 00 00 00,,0
0x1406EBA08,.rdata,g_logSchedule$initializer$,bytes[8],40 49 6E 40 01 00 00 00,,0
0x1406EBA18,.rdata,CLuaScript::_State::ms_cEmpty$initializer$,bytes[8],90 4E 6E 40 01 00 00 00,,0
0x1406EBA20,.rdata,CLuaCommandEx::_State::ms_cEmpty$initializer$,bytes[8],D0 4E 6E 40 01 00 00 00,,0
0x1406EBA30,.rdata,CLuaEventNode::_State::ms_cEmpty$initializer$,bytes[8],10 50 6E 40 01 00 00 00,,0
0x1406EBA40,.rdata,CLuaLooting_Novus_Item::_State::ms_cEmpty$initializer$,bytes[8],D0 50 6E 40 01 00 00 00,,0
0x1406EBA50,.rdata,MyTimer::_time$initializer$,bytes[8],10 5B 6E 40 01 00 00 00,,0
